group_id	group_size	sp_in_grp	seed_ortholog_cnt	a_nosocomialis.faa	a_pittii.faa	a_pragensis.faa	ab_17978.faa	ab_19606.faa
41	13	5	13	WP_004710706.1,WP_022574686.1,WP_022575469.1	WP_002115967.1,WP_023187689.1,WP_023187699.1,WP_031945655.1	WP_067666830.1,WP_067671340.1	WP_001136631.1,WP_002009591.1	WP_001013802.1,WP_002009591.1
42	13	5	13	WP_022574616.1,WP_022574617.1,WP_022575252.1	WP_002118881.1	WP_067668693.1,WP_067671069.1,WP_067671072.1	WP_000006389.1,WP_000267848.1,WP_000657706.1	WP_000006384.1,WP_000267841.1,WP_000657715.1
43	12	5	12	WP_000650776.1,WP_004708019.1,WP_022575507.1	WP_000650776.1,WP_002119620.1,WP_019767605.1	WP_005012153.1,WP_067670039.1	WP_000625743.1,WP_000650776.1	WP_000625253.1,WP_000650776.1
44	12	5	12	WP_002054567.1,WP_004886616.1,WP_022574610.1	WP_002113726.1,WP_005803491.1,WP_019767976.1	WP_067669777.1,WP_067670047.1,WP_067672225.1	WP_000072604.1,WP_001164648.1	WP_000072604.1
45	12	5	12	WP_022574474.1,WP_022575371.1,WP_031945717.1	WP_002113588.1,WP_002116482.1,WP_002118221.1	WP_067668460.1	WP_000010635.1,WP_000986589.1	WP_000010647.1,WP_000370768.1,WP_000986589.1
46	12	5	12	WP_022575128.1,WP_022575711.1	WP_002118777.1,WP_002121171.1	WP_067665398.1,WP_067667157.1,WP_067672846.1	WP_000003696.1,WP_000366681.1	WP_000003698.1,WP_000060068.1,WP_000366688.1
47	11	5	11	WP_000249482.1,WP_016141070.1	WP_000249487.1,WP_002113783.1,WP_078210294.1	WP_067667112.1,WP_227509806.1	WP_000249482.1,WP_000379602.1	WP_000249482.1,WP_000379654.1
48	11	5	11	WP_000386291.1,WP_022574362.1	WP_002114423.1,WP_002118081.1	WP_067667278.1,WP_067667680.1,WP_067670931.1	WP_000386300.1,WP_001198692.1	WP_000386297.1,WP_001198690.1
49	11	5	11	WP_000689549.1,WP_014206742.1,WP_022574511.1,WP_022574936.1	WP_002114461.1,WP_014208027.1	WP_067670376.1	WP_000689552.1,WP_005135384.1	WP_000689552.1,WP_002134432.1
50	11	5	11	WP_001105541.1,WP_022574870.1,WP_022575919.1	WP_002114373.1,WP_005803078.1,WP_005803319.1	WP_067667647.1	WP_001105541.1,WP_001163434.1	WP_001105555.1,WP_001163452.1
51	11	5	11	WP_002053145.1,WP_022575564.1	WP_002121251.1,WP_017387342.1	WP_067666030.1,WP_067668039.1,WP_067669801.1	WP_000165801.1,WP_000542808.1,WP_000661569.1	WP_000165801.1
52	11	5	11	WP_002053657.1,WP_022574907.1,WP_031224873.1	WP_000376211.1,WP_002115169.1	WP_067670715.1,WP_067672684.1	WP_000344223.1,WP_000373858.1	WP_000344220.1,WP_000373858.1
53	11	5	11	WP_002157175.1,WP_004887725.1,WP_022575199.1	WP_002114477.1,WP_002114547.1,WP_002117885.1	WP_067670921.1	WP_001176664.1	WP_000617390.1,WP_000617414.1,WP_001176654.1
54	11	5	11	WP_004708766.1,WP_004887832.1	WP_000842149.1,WP_002114280.1,WP_023187885.1	WP_067667167.1,WP_067667575.1,WP_067670341.1	WP_001202386.1	WP_000842127.1,WP_001202401.1
55	11	5	11	WP_004711377.1,WP_022575171.1	WP_002113897.1,WP_002119235.1,WP_016802620.1	WP_067667336.1,WP_067670996.1	WP_000737795.1,WP_049594872.1	WP_000052283.1,WP_000737786.1
56	11	5	11	WP_004887020.1,WP_022574364.1	WP_019767729.1,WP_030039775.1	WP_067665559.1	WP_000053789.1,WP_001076610.1,WP_031950225.1	WP_000053789.1,WP_001076616.1,WP_001193289.1
57	11	5	11	WP_004887632.1,WP_022574495.1,WP_022575823.1	WP_002114497.1,WP_019767857.1,WP_019768030.1	WP_067666680.1	WP_000375499.1,WP_000949918.1	WP_000375496.1,WP_000949923.1
58	11	5	11	WP_022574429.1,WP_022575716.1	WP_002113715.1,WP_002116141.1	WP_067667231.1,WP_067670348.1,WP_067670668.1	WP_000037737.1,WP_000044219.1	WP_000037740.1,WP_000044224.1
59	11	5	11	WP_022574723.1,WP_022574726.1,WP_080660818.1	WP_005802222.1,WP_017481377.1,WP_017481380.1	WP_067665875.1,WP_067667330.1	WP_000064942.1	WP_000064950.1,WP_100223321.1
60	11	5	11	WP_022574871.1,WP_022576027.1	WP_002113669.1,WP_002114406.1	WP_067668372.1	WP_000753357.1,WP_000771640.1,WP_001062882.1	WP_000753356.1,WP_000771641.1,WP_001062890.1
61	11	5	11	WP_022574878.1,WP_022575686.1	WP_002114451.1,WP_002116185.1	WP_067665019.1,WP_067667639.1,WP_067667674.1	WP_000205325.1	WP_000050378.1,WP_000205326.1,WP_000501102.1
62	11	5	11	WP_022574893.1,WP_022575192.1,WP_031945680.1	WP_002114244.1,WP_002117868.1,WP_002163233.1	WP_067670800.1	WP_000461795.1,WP_000672551.1	WP_000461799.1,WP_000672542.1
63	11	5	11	WP_022575494.1,WP_022575914.1,WP_031224965.1	WP_019767598.1,WP_019767898.1	WP_067672002.1	WP_001069952.1,WP_005135026.1,WP_005135501.1	WP_000261464.1,WP_001984934.1
64	10	5	10	WP_000191300.1,WP_022574921.1	WP_002114398.1,WP_002120395.1	WP_067667709.1,WP_067669525.1	WP_000191300.1,WP_001027437.1	WP_000191300.1,WP_001027017.1
65	10	5	10	WP_000214024.1,WP_000411717.1	WP_002120512.1	WP_067667593.1,WP_067667682.1,WP_067671104.1	WP_000214022.1,WP_000411716.1	WP_000214022.1,WP_000411712.1
66	10	5	10	WP_000222732.1	WP_000794339.1,WP_002113740.1	WP_067667069.1,WP_067667608.1,WP_067670346.1	WP_000222730.1,WP_001260521.1	WP_000222728.1,WP_001260526.1
67	10	5	10	WP_002048345.1,WP_022574492.1,WP_022575327.1,WP_031225005.1	WP_005803094.1	WP_067671676.1	WP_000168111.1,WP_000235279.1	WP_000168111.1,WP_001051772.1
68	10	5	10	WP_002048729.1	WP_002117847.1	WP_067664952.1,WP_067664955.1,WP_067664958.1,WP_067669642.1,WP_067669643.1,WP_067671182.1	WP_000514366.1	WP_000514366.1
69	10	5	10	WP_002049223.1,WP_022575234.1	WP_002115296.1,WP_002118380.1	WP_067668767.1,WP_067670843.1	WP_000132181.1,WP_001100693.1	WP_000132180.1,WP_001100692.1
70	10	5	10	WP_002049251.1,WP_022574914.1	WP_002114178.1,WP_002118216.1	WP_067670291.1,WP_227509818.1	WP_000135840.1,WP_000476790.1	WP_000135838.1,WP_000476779.1
71	10	5	10	WP_002049730.1,WP_002053378.1	WP_002116657.1,WP_019768023.1	WP_067666851.1	WP_000659468.1,WP_000761586.1,WP_001046660.1	WP_000761586.1,WP_001046670.1
72	10	5	10	WP_002050142.1,WP_002050510.1	WP_002115973.1,WP_002118070.1,WP_019767756.1	WP_067667351.1	WP_000861801.1,WP_001004589.1	WP_000861801.1,WP_001004594.1
73	10	5	10	WP_002050356.1,WP_022574346.1	WP_002120440.1	WP_067669544.1,WP_067669814.1	WP_000442895.1,WP_000832710.1,WP_000832749.1	WP_000442893.1,WP_000832710.1
74	10	5	10	WP_002050635.1,WP_017398197.1	WP_002116218.1,WP_002119555.1,WP_002121011.1	WP_067672207.1	WP_000007404.1,WP_000102943.1	WP_000007414.1,WP_000102943.1
75	10	5	10	WP_002051328.1,WP_004707938.1	WP_002113524.1,WP_002116519.1,WP_002118056.1	WP_067665047.1	WP_000004971.1,WP_001058170.1	WP_000004971.1,WP_001058167.1
76	10	5	10	WP_002052029.1,WP_004708790.1	WP_002121758.1,WP_005076029.1,WP_019767636.1	WP_067670062.1,WP_067670126.1	WP_001122847.1	WP_000207884.1,WP_001122847.1
77	10	5	10	WP_002052039.1,WP_022575115.1	WP_002121736.1,WP_002121792.1	WP_067670171.1	WP_000992292.1,WP_000992299.1,WP_049594813.1	WP_000992291.1,WP_000992301.1
78	10	5	10	WP_002053310.1,WP_004887938.1,WP_022574945.1	WP_005802433.1,WP_019768021.1	WP_067666846.1	WP_000375410.1,WP_001046500.1	WP_000375416.1,WP_001046500.1
79	10	5	10	WP_002053493.1,WP_022575061.1,WP_022576015.1	WP_002115026.1,WP_016141928.1	WP_067666314.1	WP_000140232.1,WP_000422094.1	WP_000140223.1,WP_000422094.1
80	10	5	10	WP_002156935.1,WP_022575343.1	WP_002114785.1,WP_002118772.1,WP_050595109.1	WP_081406844.1	WP_000689285.1,WP_001211238.1	WP_000689275.1,WP_001211227.1
81	10	5	10	WP_004702206.1,WP_022574596.1,WP_022575331.1	WP_002114296.1,WP_005076109.1	WP_067667229.1	WP_000501457.1,WP_001186397.1	WP_000501457.1,WP_001186384.1
82	10	5	10	WP_004707985.1,WP_022575802.1	WP_017481395.1,WP_019768010.1	WP_067666813.1,WP_171254473.1	WP_000078875.1,WP_000165400.1	WP_000078880.1,WP_000165396.1
83	10	5	10	WP_004710645.1,WP_004887549.1	WP_002115982.1,WP_019767990.1	WP_067670626.1	WP_000037357.1,WP_000037367.1,WP_001124719.1	WP_000037356.1,WP_000037619.1
84	10	5	10	WP_004885673.1,WP_022575980.1	WP_005803866.1,WP_019767427.1	WP_067667457.1,WP_067672663.1	WP_000070815.1,WP_001191140.1	WP_000070815.1,WP_001191140.1
85	10	5	10	WP_005069060.1,WP_017386040.1	WP_005069060.1,WP_017386040.1	WP_067665867.1,WP_067672257.1	WP_000565984.1,WP_000566012.1	WP_000565989.1,WP_000566012.1
86	10	5	10	WP_006580853.1,WP_022575362.1	WP_002117414.1,WP_002118104.1	WP_067667701.1,WP_067670711.1	WP_000082714.1,WP_000118659.1	WP_000082714.1,WP_000118659.1
87	10	5	10	WP_022574319.1	WP_000670223.1,WP_002114427.1,WP_019768093.1	WP_067668667.1,WP_067669985.1	WP_000140066.1,WP_001165988.1	WP_000140066.1,WP_001165994.1
88	10	5	10	WP_022574420.1,WP_022575184.1	WP_016802612.1,WP_019767736.1	WP_067666129.1,WP_067668138.1	WP_000366384.1,WP_001138968.1	WP_000366392.1,WP_001138980.1
89	10	5	10	WP_022574496.1,WP_022575183.1	WP_002113835.1,WP_005804873.1	WP_067671215.1,WP_171254483.1	WP_000373595.1,WP_001212536.1	WP_000373596.1,WP_001212536.1
90	10	5	10	WP_022574506.1,WP_022574514.1,WP_022574941.1,WP_022575464.1	WP_002114263.1	WP_067668863.1,WP_067671322.1,WP_067671916.1	WP_001099243.1	WP_001099246.1
91	10	5	10	WP_022574520.1,WP_022574525.1,WP_022574533.1,WP_022576050.1	WP_019767390.1	WP_067669955.1,WP_067670520.1	WP_000192767.1	WP_000192764.1,WP_001212558.1
92	10	4	10	WP_022574741.1	WP_002121604.1,WP_017481393.1,WP_023187955.1	*	WP_001019687.1,WP_001019729.1	WP_000109880.1,WP_001019688.1,WP_001019739.1,WP_001984959.1
93	10	4	10	WP_022574812.1	WP_002114385.1,WP_019767394.1,WP_019767632.1	*	WP_001133099.1,WP_001133117.1,WP_009517923.1	WP_000792722.1,WP_001133086.1,WP_001133099.1
94	10	5	10	WP_022574938.1,WP_022575865.1	WP_002114368.1,WP_017481326.1	WP_067670293.1	WP_000472502.1,WP_000830709.1	WP_000472503.1,WP_000750380.1,WP_000830706.1
95	10	5	10	WP_022574988.1,WP_022574991.1,WP_022575419.1	WP_002120537.1,WP_019767775.1	WP_067671959.1	WP_000181270.1,WP_000446080.1	WP_000181277.1,WP_000438219.1
96	10	5	10	WP_022575303.1,WP_022575377.1,WP_022575905.1	WP_002118248.1,WP_005803828.1	WP_067671721.1	WP_000117587.1,WP_000784951.1	WP_000117601.1,WP_000784943.1
97	10	5	10	WP_022575438.1,WP_031225150.1	WP_000401164.1,WP_005803604.1	WP_067669982.1	WP_000401165.1,WP_000437833.1	WP_000401163.1,WP_000437833.1,WP_000555568.1
98	10	5	10	WP_022575784.1,WP_022576132.1	WP_002115022.1,WP_005804318.1	WP_067668606.1,WP_081406793.1	WP_000365488.1,WP_001113592.1	WP_000365488.1,WP_001113593.1
99	10	5	10	WP_022575993.1	WP_002116077.1,WP_002116996.1	WP_067668849.1,WP_067669215.1,WP_067670277.1,WP_067672609.1	WP_000017628.1,WP_000090000.1	WP_000090000.1
100	10	4	10	WP_080660812.1	WP_002113573.1,WP_002118596.1,WP_002118809.1	*	WP_001210789.1,WP_001223277.1,WP_104159492.1	WP_000413224.1,WP_001210788.1,WP_001223275.1
101	10	4	10	*	WP_000059636.1,WP_023187791.1	WP_067669833.1,WP_067669864.1,WP_067670092.1	WP_000910421.1,WP_000954590.1,WP_001118986.1	WP_000954590.1,WP_002134292.1
102	9	5	9	WP_000167348.1,WP_022576071.1	WP_005066767.1,WP_023187824.1	WP_004981585.1,WP_067667364.1	WP_000626023.1	WP_000167347.1,WP_000626024.1
103	9	5	9	WP_000423280.1,WP_022574900.1	WP_004702719.1,WP_005076569.1	WP_067665893.1	WP_000119792.1,WP_000423280.1	WP_000119777.1,WP_000423276.1
104	9	5	9	WP_001263980.1,WP_022574876.1	WP_002118025.1,WP_005802493.1	WP_067669533.1	WP_001057863.1,WP_001263974.1	WP_001057857.1,WP_001263981.1
105	9	5	9	WP_002040868.1,WP_022574884.1	WP_002114434.1,WP_170825830.1	WP_005330665.1,WP_067670966.1	WP_002040868.1	WP_000116913.1,WP_002040868.1
106	9	5	9	WP_002048804.1,WP_022575027.1	WP_017398662.1,WP_017481698.1	WP_227509802.1	WP_000972056.1,WP_001281781.1	WP_001281781.1,WP_002098122.1
107	9	5	9	WP_002050687.1,WP_022575455.1	WP_014206963.1,WP_078210497.1	WP_067670080.1,WP_067671737.1	WP_000838057.1	WP_000838064.1,WP_085941192.1
108	9	5	9	WP_002051689.1,WP_004710666.1	WP_002115138.1,WP_002116987.1	WP_067671245.1	WP_000643712.1,WP_001978744.1	WP_000643712.1,WP_001978744.1
109	9	5	9	WP_002052147.1,WP_022575857.1	WP_002117375.1	WP_067669226.1,WP_067669911.1	WP_000713965.1,WP_000838110.1	WP_000713961.1,WP_000838088.1
110	9	5	9	WP_002052730.1,WP_004708005.1	WP_002118418.1,WP_002119754.1	WP_067668879.1,WP_067670024.1	WP_000885644.1	WP_000770558.1,WP_000885644.1
111	9	5	9	WP_002054045.1,WP_022575130.1	WP_002121240.1,WP_019767339.1	WP_067668430.1	WP_000193600.1,WP_049594868.1	WP_000193600.1,WP_000772985.1
112	9	5	9	WP_002054113.1,WP_022574700.1	WP_000079412.1,WP_002118503.1	WP_067670782.1	WP_000079409.1,WP_000732868.1	WP_000079421.1,WP_000732870.1
113	9	5	9	WP_002054406.1	WP_002121386.1,WP_005802923.1	WP_067667496.1,WP_067669085.1	WP_000809155.1,WP_001021784.1	WP_000809155.1,WP_001021777.1
114	9	5	9	WP_002156878.1,WP_022575928.1	WP_002163181.1,WP_005803337.1	WP_067670688.1	WP_000629031.1,WP_001077408.1	WP_000629030.1,WP_001077405.1
